created_at,tweet
2021-10-26 15:09:37+02:00,"['Airdrop', 'GameFi', 'NFT', 'PlayToEarn', 'Metaverse']"
2021-10-26 15:09:38+02:00,['UNAM']
2021-10-26 15:09:39+02:00,['NoBailToAryanKhan']
2021-10-26 15:09:40+02:00,['BTC']
2021-10-26 15:09:40+02:00,"['NoVaccinePassport', 'Canada', 'Quebec', 'October25', 'mondayreport']"
2021-10-26 15:09:42+02:00,['PERSIBDAY']
2021-10-26 15:09:42+02:00,"['ShopeeBucininNCT127', 'DiShopeeAdaNCT127', 'KetemuNCT127diShopee']"
2021-10-26 15:09:42+02:00,"['Rockwithyou', 'SEVENTEEN', 'attacca']"
