created_at,tweet
2021-10-26 15:20:06+02:00,['NoBailToAryanKhan']
2021-10-26 15:20:06+02:00,['MoreAboutNADINE']
2021-10-26 15:20:07+02:00,['oneus']
2021-10-26 15:20:07+02:00,['AirdropKing']
2021-10-26 15:20:07+02:00,['SB19Anniv3rsaryLive']
2021-10-26 15:20:07+02:00,['SquidGame']
2021-10-26 15:20:08+02:00,['bagcilar']
2021-10-26 15:20:09+02:00,"['firebase', 'stackoverflow']"
2021-10-26 15:20:10+02:00,['SB19Anniv3rsarylive']
2021-10-26 15:20:10+02:00,['ForTheH']
2021-10-26 15:20:12+02:00,['KilicdaroglununAtamaCagrisi']
2021-10-26 15:20:13+02:00,"['StrayKidsdiWIBTVShow', 'TokopediaWIBOktober', 'AsyikMainBareng', 'WaktuIndonesiaBelanja']"
2021-10-26 15:20:14+02:00,['VivaOSuS']
2021-10-26 15:20:14+02:00,['originalcharacter']
2021-10-26 15:20:15+02:00,"['LunarCrush', 'LunarShare']"
2021-10-26 15:20:15+02:00,['AMC']
2021-10-26 15:20:16+02:00,['studioart']
2021-10-26 15:20:17+02:00,"['SameerVankhede', 'AryanKhan']"
2021-10-26 15:20:19+02:00,['MoreAboutNADINE']
2021-10-26 15:20:20+02:00,"['TuKiRaWithDJHueningkai', 'TOMORROW_X_TOGETHER']"
2021-10-26 15:20:20+02:00,['PanadolID']
2021-10-26 15:20:20+02:00,"['ShopeeBucininNCT127', 'DiShopeeAdaNCT127', 'KetemuNCT127diShope']"
2021-10-26 15:20:22+02:00,['MoreAboutNADINE']
2021-10-26 15:20:22+02:00,"['RahulVaidya', 'RKVians']"
2021-10-26 15:20:23+02:00,['AccidentalPartridge']
2021-10-26 15:20:23+02:00,"['SB19', 'SB19Anniv3rsaryLIVE', 'RAWRAwards2021', 'RAWRATIN']"
2021-10-26 15:20:24+02:00,['RedRibbonWeek2021']
2021-10-26 15:20:25+02:00,"['TuKiRaWithDJHueningkai', 'TOMORROW_X_TOGETHER']"
2021-10-26 15:20:25+02:00,"['LunarCrush', 'LunarShare']"
2021-10-26 15:20:25+02:00,['Taurus']
2021-10-26 15:20:26+02:00,['TuKiRaWithDJHueningkai']
2021-10-26 15:20:26+02:00,['guns']
2021-10-26 15:20:27+02:00,['ARIAsArianaGrande']
2021-10-26 15:20:28+02:00,"['SelaludiShopeeMantulSale', 'BelanjaMantuldiShopee', 'HariGajianIngatShopee']"
2021-10-26 15:20:28+02:00,['505']
2021-10-26 15:20:29+02:00,['mood']
2021-10-26 15:20:33+02:00,"['SB19', 'SB19Anniv3rsaryLive']"
2021-10-26 15:20:33+02:00,"['ASEAN_StandWithJustice', 'Oct26Coup', 'WhatsHappeningInMyanmar']"
2021-10-26 15:20:34+02:00,['SterbenmitLudwig']
2021-10-26 15:20:34+02:00,['beatimekbc']
2021-10-26 15:20:35+02:00,['cookierun']
2021-10-26 15:20:35+02:00,['ARIAsTaylorSwift']
2021-10-26 15:20:36+02:00,['8']
2021-10-26 15:20:37+02:00,"['PratikIsTheBoss', 'PratikSehajpal']"
2021-10-26 15:20:38+02:00,['ARIAsJustinBieber']
2021-10-26 15:20:38+02:00,['MondayMotivation']
2021-10-26 15:20:39+02:00,['MohdShami']
2021-10-26 15:20:40+02:00,['THATHGavinDecides']
2021-10-26 15:20:42+02:00,['LALISA']
2021-10-26 15:20:42+02:00,['ARIAsArianaGrande']
2021-10-26 15:20:42+02:00,['NipeeIDNivote']
2021-10-26 15:20:43+02:00,"['jesusnuncafalla', 'leonardobailey']"
2021-10-26 15:20:43+02:00,['NORUNANOLIFE']
2021-10-26 15:20:43+02:00,"['bdsm', 'soumi', 'domi', 'lope', 'boss']"
2021-10-26 15:20:44+02:00,"['ZaynMalik', '100mosthandsomemen2021', 'tbworld2021']"
2021-10-26 15:20:44+02:00,['NationalPumpkinDay']
2021-10-26 15:20:45+02:00,"['TuKiRaWithDJHueningkai', 'TOMORROW_X_TOGETHER']"
2021-10-26 15:20:46+02:00,"['SB19Anniv3rsaryLive', 'RAWRAwards2021', 'RAWRATIN']"
2021-10-26 15:20:46+02:00,['arthurmeme']
2021-10-26 15:20:47+02:00,['JucoBandit']
2021-10-26 15:20:49+02:00,['NCT127']
2021-10-26 15:20:50+02:00,['AshTan']
2021-10-26 15:20:50+02:00,"['NoBailToAryanKhan', 'NoBailToAryanKhan']"
2021-10-26 15:20:50+02:00,"['chowder', 'cartoonnetwork', 'fanart']"
2021-10-26 15:20:51+02:00,"['SB19Anniv3rsaryLive', 'RAWRAwards2021', 'RAWRATIN']"
2021-10-26 15:20:52+02:00,['IStandWithShami']
2021-10-26 15:20:53+02:00,['climate200']
2021-10-26 15:20:55+02:00,['SB19Anniv3rsaryLive']
2021-10-26 15:20:55+02:00,['NoBailToAryanKhan']
